cell_subtype,cell_type,cluster,lineage,germ_layer,type_color,id,subtype_id,subtype_color
Rostral ectoderm,Rostral ectoderm,Early,Ectoderm,Ectoderm,#a05837,1,1,#a05837
Amniotic ectoderm,Amniotic ectoderm,Extraembryonic and PGC,Extraembryonic ectoderm,Ectoderm,#c0b9b2,2,2,#c0b9b2
Extraembryonic ectoderm,Extraembryonic ectoderm,Extraembryonic and PGC,Extraembryonic ectoderm,Ectoderm,#bc23ff,3,3,#bc23ff
Cranial neural crest,Cranial neural crest,Early,Neural crest,Ectoderm,#3b5dff,4,4a,#3b5dff
Cranial neural crest (anterior),Cranial neural crest,Neural crest,Neural crest,Ectoderm,#3b5dff,4,4b,#636363
Cranial neural crest (posterior),Cranial neural crest,Neural crest,Neural crest,Ectoderm,#3b5dff,4,4c,#9e9ac8
Frontonasal mesenchyme,Frontonasal mesenchyme,Neural crest,Neural crest,Ectoderm,#004d43,5,5,#004d43
Pharyngeal arch mesenchyme,Pharyngeal arch mesenchyme,Neural crest,Neural crest,Ectoderm,#a30059,6,6a,#a30059
Pharyngeal arch mesenchyme (p1-p2),Pharyngeal arch mesenchyme,Neural crest,Neural crest,Ectoderm,#a30059,6,6b,#f7b6d2
Pharyngeal arch mesenchyme (p3-p4),Pharyngeal arch mesenchyme,Neural crest,Neural crest,Ectoderm,#a30059,6,6c,#c7c7c7
Trigeminal ganglion neuron,Trigeminal ganglion neuron,Neural crest,Neural crest,Ectoderm,#a3c8c9,7,7,#a3c8c9
Autonomic neuron,Autonomic neuron,Neural crest,Neural crest,Ectoderm,#fff69f,8,8,#fff69f
Autonomic progenitor,Autonomic progenitor,Neural crest,Neural crest,Ectoderm,#ff8a9a,9,9,#ff8a9a
Dorsal root ganglion neuron,Dorsal root ganglion neuron,Neural crest,Neural crest,Ectoderm,#ff913f,10,10,#ff913f
Dorsal root ganglion progenitor,Dorsal root ganglion progenitor,Neural crest,Neural crest,Ectoderm,#1e6e00,11,11,#1e6e00
Sacral neural crest,Sacral neural crest,Neural crest,Neural crest,Ectoderm,#00a6aa,12,12,#00a6aa
Trunk neural crest,Trunk neural crest,Neural crest,Neural crest,Ectoderm,#00846f,13,13,#00846f
Vagal neural crest,Vagal neural crest,Neural crest,Neural crest,Ectoderm,#a079bf,14,14,#a079bf
Forebrain,Forebrain,Early,Neural ectoderm,Ectoderm,#c8a1a1,15,15,#c8a1a1
Hindbrain,Hindbrain,Early,Neural ectoderm,Ectoderm,#6367a9,16,16,#6367a9
