id,level,cell_subtype,cell_type,cluster,lineage,germ_layer,stages,n_cells,global_markers,local_markers,description,rationale
1,cell type,Rostral ectoderm,Rostral ectoderm,Early,Ectoderm,Ectoderm,E7.5,914,"Dnmt3b, Pou5f1, Epcam, Pim2, Utf1, Slc7a3, Pou3f1, Rbpms2, L1td1, Spint2","Utf1, Epcam, Dnmt3b, Slc7a3, Cldn6, L1td1, Pou5f1, Zfp36l2, Rbpms2, Car14","Rostral ectoderm at E7.5 represents the anterior-most portion of the embryonic ectoderm, positioned adjacent to the anterior visceral endoderm signaling center during early gastrulation. This population retains significant epiblast-like character—reflecting its recent emergence from the pluripotent epiblast—and has not yet committed to definitive neural or surface ectoderm fates. It will ultimately contribute to anterior neural structures including the forebrain and anterior surface ectoderm.","The persistent expression of pluripotency-associated genes such as Pou5f1 (Oct4), Utf1, L1td1, and Dnmt3b is consistent with the nascent, not-yet-fully-specified state of E7.5 ectoderm that has only recently segregated from the epiblast. Epithelial identity is reflected by Epcam and the tight junction component Cldn6, confirming this population's coherent epithelial organization typical of the ectoderm layer. Critically, the presence of Pou3f1 (Oct6) supports the rostral designation, as this POU-domain transcription factor is specifically enriched in the anterior ectoderm during early gastrulation and is one of the earliest markers distinguishing rostral from caudal ectoderm. Together, the co-expression of anterior ectoderm specification markers with residual pluripotency genes defines a transitional rostral ectodermal population at the onset of germ-layer patterning."
2,cell type,Amniotic ectoderm,Amniotic ectoderm,Extraembryonic and PGC,Extraembryonic ectoderm,Ectoderm,"E8.0, E8.5, E9.0, E9.5, E10.0",8885,"Igfbp2, Slc2a3, Ahnak, Krt8, Krt18, Anxa2, Pmp22, Slc2a1, Rbms3, Plac8","Plac8, Tac2, Ppp2r2b, Slc2a1, Lrp2, Kcnq5, Pmp22, Dlk1, Wfdc2, Dpf3","Amniotic ectoderm is the inner ectodermal epithelial layer of the amnion, the thin membrane that encloses the embryo within the amniotic cavity. Continuous with but distinct from the embryonic ectoderm, it forms as the amniotic folds close around E7.5–E8.0 and persists as a simple squamous-to-cuboidal epithelium that provides a protective fluid-filled environment for the developing embryo. As an extraembryonic ectoderm derivative, it does not contribute to embryonic tissues but plays roles in signaling and mechanical protection.","The simple epithelial keratins Krt8 and Krt18 among the top global markers are hallmarks of the amniotic epithelium, distinguishing it from the stratified embryonic surface ectoderm which expresses basal keratins. Strong expression of extraembryonic-associated genes such as Plac8 (the top local marker) and Igfbp2 confirms this population's identity outside the embryo proper, consistent with placement in the extraembryonic ectoderm lineage. The glucose transporters Slc2a1 and Slc2a3 reflect the metabolically active transport epithelium character of the amnion, while local markers Wfdc2 and Tac2 further separate this population from neighboring cell types such as surface ectoderm or chorion. Together, the combination of simple epithelial identity, extraembryonic gene enrichment, and stage presence from E8.5 onward—after amniotic fold closure—supports the designation as amniotic ectoderm."
3,cell type,Extraembryonic ectoderm,Extraembryonic ectoderm,Extraembryonic and PGC,Extraembryonic ectoderm,Ectoderm,E7.5,342,"Rhox5, Fabp3, Phlda2, Rps3a3, Morc4, Trap1a, Id2, Tex19.1, Sfmbt2, Bex1","Rhox5, Id2, Fabp3, Rps3a3, Morc4, Tex19.1, Sfmbt2, Xist, Trap1a, Utf1","Extraembryonic ectoderm is a transient trophoblast-derived epithelial tissue that forms the outer layer of the ectoplacental cone and lines the proamniotic cavity at pre- and early gastrulation stages. It contributes to the chorionic ectoderm and, ultimately, to the labyrinth layer of the placenta, playing essential roles in nutrient exchange, placental morphogenesis, and signaling to the underlying epiblast. Its restriction to E7.5 in this dataset is consistent with its rapid differentiation into downstream trophoblast subtypes during gastrulation.","The marker gene profile strongly supports a trophoblast/extraembryonic ectoderm identity. Rhox5, the top global and local marker, is a reproductive homeobox gene with well-characterized expression in trophoblast lineages, while Tex19.1 is an imprinted gene highly expressed in extraembryonic tissues and the germline. Phlda2 is a maternally expressed imprinted gene critical for placental growth, and Sfmbt2 is a paternally expressed gene whose imprinting is specific to extraembryonic lineages—together these imprinted loci are hallmarks of trophoblast identity. Additional markers such as Id2 (a BMP-responsive inhibitor of differentiation enriched in trophoblast stem cells), Fabp3 (involved in fatty acid transport in metabolically active extraembryonic tissues), and prominent Xist expression (consistent with the imprinted X-inactivation characteristic of extraembryonic ectoderm) collectively distinguish this population from embryonic ectoderm and confirm the extraembryonic ectoderm designation."
4,cell type,,Cranial neural crest,,Neural crest,Ectoderm,"E8.0, E8.5, E9.0, E9.5, E10.0",25427,"Cdh6, Crabp1, Tnik, Tfap2b, Sox10, Lmo4, Rbms3, Ets1, Zeb2, Mef2c","Gap43, Celf2, Twist1, Cited2, Id2, Hmcn1, Sfrp1, Plxna4, Col23a1, Ina","Cranial neural crest cells are a migratory population of ectoderm-derived cells that originate from the dorsal neural tube in the head region. They delaminate and migrate extensively to give rise to craniofacial cartilage and bone, cranial ganglia, smooth muscle, and connective tissue of the face and pharyngeal arches. This population is one of the largest neural crest subsets and is essential for building the vertebrate head.","The global markers strongly support a neural crest identity, with Sox10 and Tfap2b being canonical transcription factors for neural crest specification and Ets1, Zeb2, and Crabp1 marking migratory crest populations. Cranial-specific identity is reinforced by Mef2c, which drives craniofacial and pharyngeal arch mesenchyme differentiation, and by the local marker Twist1, a key regulator of cranial mesenchyme and craniofacial morphogenesis. Additional local markers such as Sfrp1 (a Wnt modulator in cranial crest patterning), Id2 (active in branchial arch crest), and Plxna4 (a semaphorin receptor guiding cranial crest migration streams) collectively distinguish this population from trunk or cardiac neural crest lineages."
4a,cell subtype,Cranial neural crest,Cranial neural crest,Early,Neural crest,Ectoderm,E8.0,201,"Sox9, Foxd3, Gadd45a, Ets1, Ptn, Pax3, Pak3, Mest, Id3, Tfap2a","Sox9, Foxd3, Ets1, Gadd45a, Pax3, Mest, Pak3, Tfap2a, Robo1, Id3","Cranial neural crest cells are a migratory multipotent cell population that delaminates from the dorsal neural tube in the head region and migrates into the pharyngeal arches and craniofacial primordia. At E8.0, these cells are among the earliest neural crest to emigrate, contributing to craniofacial cartilage, bone, connective tissue, and cranial ganglia. They are distinguished from trunk neural crest by their broader differentiation potential, including the ability to form skeletal and connective tissue derivatives.","The marker gene signature strongly supports a cranial neural crest identity. Foxd3 and Tfap2a are canonical neural crest specifiers required for induction and maintenance of the premigratory and early migratory crest, while Pax3 marks the dorsal neural tube border from which crest cells delaminate. Sox9 is a key regulator of chondrogenic fate in cranial crest and is highly enriched in the cranial rather than trunk population at this stage, and Ets1 drives cranial-specific crest migration into the pharyngeal arches. Additional markers such as Id3, which promotes neural crest stemness, and Robo1, involved in guidance of migrating cranial crest streams, further confirm the cranial migratory identity of this cluster."
4b,cell subtype,Cranial neural crest (anterior),Cranial neural crest,Neural crest,Neural crest,Ectoderm,"E8.5, E9.0, E9.5, E10.0",17118,"Cdh6, Tnik, Tfap2b, Sox10, Lmo4, Plp1, Nr2f1, Rbms3, Ets1, Mef2c","Celf2, Hmcn1, Id2, Gap43, Cited2, Id3, Tpi1, Mef2c, Slc16a3, Ppp2r2b","Cranial neural crest (anterior) cells are a subpopulation of cranial neural crest originating from the prosencephalic and mesencephalic neural folds that migrate into the frontonasal prominence and anterior pharyngeal arches. These cells give rise to much of the craniofacial mesenchyme—including cartilage, bone, and connective tissue of the face and anterior skull—and are captured here from E8.5 through E10.0 during active migration and early differentiation.","Core neural crest identity is established by Tfap2b, Sox10, and Ets1, which are master regulators of neural crest specification and migration, while Plp1 and Gap43 mark actively migrating neural crest progenitors. The anterior cranial designation is supported by Mef2c, a transcription factor essential for frontonasal and first pharyngeal arch development, and by Cited2, a cofactor enriched in anterior craniofacial structures—both of which appear as local markers distinguishing this population from other cranial neural crest subtypes. Local enrichment of Id2 and Id3 further indicates a less differentiated, progenitor-like state consistent with the sustained proliferative capacity characteristic of anterior cranial neural crest mesenchyme."
4c,cell subtype,Cranial neural crest (posterior),Cranial neural crest,Neural crest,Neural crest,Ectoderm,"E8.5, E9.0, E9.5, E10.0",8108,"Crabp1, Cdh6, Dcc, Nr2f1, Crabp2, Tnik, Tfap2b, Zeb2, Sox10, Ednra","Crabp1, Meis1, Ednra, Nr2f1, Zfp503, Unc5c, Fhod3, Meis2, Epha4, Arid3b","Cranial neural crest (posterior) cells are neural crest cells originating from the caudal cranial region, primarily the hindbrain (rhombomere) level. They migrate into the posterior pharyngeal arches and contribute to skeletal, connective tissue, and mesenchymal derivatives of the posterior head and neck. Present from E8.5 through E10.0, these cells span the period of active neural crest emigration, ventral migration, and colonization of pharyngeal arch targets.","The cranial neural crest identity is established by core neural crest transcription factors Sox10, Tfap2b, and Zeb2, along with the neural crest migration-associated receptor Ednra. The posterior designation is strongly supported by high expression of Crabp1 and Crabp2, which encode retinoic acid–binding proteins enriched in posterior cranial neural crest where RA signaling specifies caudal positional identity. Local markers further reinforce posterior regionalization: Meis1 and Meis2 are TALE-class homeodomain factors that mark hindbrain-derived neural crest and posterior pharyngeal arch mesenchyme, while Epha4 is associated with hindbrain rhombomere boundary formation and caudal cranial neural crest stream guidance. Nr2f1 (COUP-TFI), a transcription factor involved in posteriorizing patterning programs, and Zfp503, a zinc finger protein linked to caudal identity, collectively distinguish this population from more anterior cranial neural crest subtypes."
5,cell type,Frontonasal mesenchyme,Frontonasal mesenchyme,Neural crest,Neural crest,Ectoderm,"E8.5, E9.0, E9.5, E10.0",46044,"Crabp1, Cped1, Twist1, Alx3, Hmcn1, Prrx1, Col1a2, Cdh11, Col23a1, Col3a1","Alx3, Rarb, Crabp1, Col1a2, Alx1, Alx4, Crym, Ldhb, Pax3, Foxp1","Frontonasal mesenchyme is a neural crest-derived mesenchymal population that populates the frontonasal prominence of the developing embryo, ultimately contributing to midface structures including the nasal septum, nasal bridge, and forehead. This population emerges after cranial neural crest cells migrate into the frontonasal region and undergo an epithelial-to-mesenchymal transition, adopting a proliferative, matrix-producing mesenchymal identity that is patterned by retinoic acid and homeobox transcription factor gradients. Its presence from E8.5 through E10.0 is consistent with the progressive expansion of the frontonasal prominence during mid-gestation craniofacial morphogenesis.","The name is strongly supported by the co-expression of Alx3, Alx1, and Alx4, aristaless-like homeobox transcription factors that are the defining molecular signature of the frontonasal prominence mesenchyme; mutations in ALX3 cause frontonasal dysplasia in humans, and compound Alx1/Alx4 knockouts produce severe midface clefting in mice. Active retinoic acid signaling, a hallmark of frontonasal identity and anterior-posterior patterning of the face, is indicated by the local markers Crabp1 (cellular retinoic acid binding protein 1) and Rarb (retinoic acid receptor beta). The mesenchymal character of this population is confirmed by global markers including Twist1, Prrx1, Col1a2, Col3a1, and Cdh11, all of which are canonical markers of cranial mesenchyme, while Pax3 among the local markers reflects the neural crest origin of this population."
6,cell type,,Pharyngeal arch mesenchyme,,Neural crest,Ectoderm,"E8.5, E9.0, E9.5, E10.0",66888,"Twist1, Prrx1, Col23a1, Cped1, Crabp1, Mecom, Cdh11, Barx1, Fli1, Prrx2","Barx1, Rbp1, Dlx2, Ebf2, Dlx1, Col23a1, Dnajc1, Lrba, Fli1, Dlx5","Pharyngeal arch mesenchyme comprises neural crest-derived mesenchymal cells that populate the pharyngeal (branchial) arches, transient embryonic structures that give rise to craniofacial skeletal elements, connective tissues, and smooth muscle of the face, jaw, and neck. These cells undergo extensive proliferation and patterning between E8.5 and E10.0 as the arches form and are colonized by migrating cranial neural crest, ultimately differentiating into chondrocytes, osteoblasts, and other connective tissue cell types of the head and pharyngeal region.","The local markers strongly support a pharyngeal arch identity, with Barx1 being a definitive marker of pharyngeal arch mesenchyme required for molar tooth and craniofacial development, and the Dlx gene family members Dlx1, Dlx2, and Dlx5 establishing the nested dorsoventral patterning code (the ""Dlx code"") that specifies proximal-distal identity within the arches. Global markers Twist1 and Prrx1/Prrx2 confirm a mesenchymal identity, as these transcription factors are broadly expressed in cranial mesenchyme and essential for craniofacial morphogenesis. Neural crest origin is corroborated by Crabp1 (retinoic acid-binding protein prominent in migrating cranial crest) and Fli1 (an ETS factor expressed in crest-derived mesenchyme), while Col23a1 and Cdh11 reflect the extracellular matrix and adhesion properties of differentiating mesenchymal cells within the arch environment."
6a,cell subtype,Pharyngeal arch mesenchyme,Pharyngeal arch mesenchyme,Neural crest,Neural crest,Ectoderm,"E8.5, E9.0, E10.0",4711,"Twist1, Col23a1, Cdh11, Mef2c, Crabp1, Id1, Prrx1, Cped1, Lmo4, Adam12","Twist1, Mef2c, Hapln1, Plxna4, Cdh11, Adam12, Hopx, Ebf2, Id1, Plcb1","Pharyngeal arch mesenchyme comprises neural crest-derived mesenchymal cells that populate the pharyngeal (branchial) arches during mid-embryogenesis. These cells give rise to much of the craniofacial skeleton, connective tissue, and smooth muscle of the head and neck, contributing to structures such as the jaw, middle ear ossicles, and hyoid bone. Appearing from E8.5 onward, they represent a critical progenitor population for craniofacial morphogenesis.","The marker profile strongly supports a pharyngeal arch mesenchyme identity. Twist1 and Prrx1 are canonical transcription factors of cranial neural crest-derived mesenchyme, with Twist1 being essential for pharyngeal arch patterning and skeletal differentiation, while Mef2c marks second pharyngeal arch mesenchyme and is required for craniofacial development. Additional markers such as Cdh11, Adam12, and Col23a1 reflect the active extracellular matrix remodeling and mesenchymal adhesion characteristic of arch mesenchyme, and Crabp1 indicates retinoic acid signaling involvement typical of pharyngeal arch patterning. Local markers including Hapln1 (a cartilage matrix linker protein) and Ebf2 (involved in skeletal differentiation) further distinguish this population from related mesenchymal subtypes and reinforce its identity as the mesenchymal core of the pharyngeal arches."
