,embryo,stage,fate,lineage,mean_time,mean_size,n_progenitors
0,E9.5-R1,E9.5,Allantois,Extraembryonic mesoderm,8.970123126570064,2.0,3
1,E9.5-R1,E9.5,Amniotic ectoderm,Extraembryonic ectoderm,8.273556332467507,4.771428571428571,70
2,E9.5-R1,E9.5,Arterial endothelial cell,Mesoderm,8.381190887991123,2.066666666666667,15
3,E9.5-R1,E9.5,Autonomic progenitor,Neural crest,8.547485168549526,3.4125,160
4,E9.5-R1,E9.5,Axial progenitor,Epiblast,8.830171203374611,3.0683760683760686,234
5,E9.5-R1,E9.5,Cranial motor neuron,Neural ectoderm,8.712377029044436,2.5103734439834025,241
6,E9.5-R1,E9.5,Cranial neural crest,Neural crest,8.57596251566465,3.988673139158576,618
7,E9.5-R1,E9.5,Dermomyotome,Paraxial mesoderm,8.649345179168403,4.287352328005559,2878
8,E9.5-R1,E9.5,Diencephalon,Neural ectoderm,8.604419002389918,5.455568053993251,889
9,E9.5-R1,E9.5,Dorsal root ganglion neuron,Neural crest,8.76256515616012,2.764705882352941,51
10,E9.5-R1,E9.5,Dorsal root ganglion progenitor,Neural crest,8.793692712067365,2.1794871794871793,39
11,E9.5-R1,E9.5,Endocardial cell,Lateral plate mesoderm,8.212130680848793,3.0921052631578947,76
12,E9.5-R1,E9.5,Endothelial cell,Mesoderm,8.291379009637668,3.0533980582524274,618
13,E9.5-R1,E9.5,Endothelial progenitor,Mesoderm,8.755996890117961,2.2439024390243905,82
14,E9.5-R1,E9.5,Epibranchial placode,Surface ectoderm,8.598463984450884,4.309352517985611,139
15,E9.5-R1,E9.5,Epibranchial sensory neuron,Surface ectoderm,8.715706194589702,2.673076923076923,52
16,E9.5-R1,E9.5,Epicardium,Lateral plate mesoderm,8.419944446217078,3.634920634920635,63
17,E9.5-R1,E9.5,Epidermal progenitor,Surface ectoderm,8.419023450108845,8.947278911564625,588
18,E9.5-R1,E9.5,Extraembryonic mesoderm,Extraembryonic mesoderm,7.643094563866366,10.504854368932039,103
19,E9.5-R1,E9.5,Eye field,Neural ectoderm,8.607048580856153,5.591575091575091,546
20,E9.5-R1,E9.5,First heart field,Lateral plate mesoderm,7.872972014604228,3.2439024390243905,123
21,E9.5-R1,E9.5,Floor plate,Neural ectoderm,8.590308402392317,4.325426944971537,1054
22,E9.5-R1,E9.5,Foregut,Endoderm,8.208840264522099,3.8461538461538463,156
23,E9.5-R1,E9.5,Forelimb field,Lateral plate mesoderm,8.625651818111761,7.325581395348837,989
24,E9.5-R1,E9.5,Frontonasal mesenchyme,Neural crest,8.328253835017813,12.338485316846986,647
25,E9.5-R1,E9.5,Head paraxial mesoderm,Paraxial mesoderm,8.180355088974675,16.97304964539007,705
26,E9.5-R1,E9.5,Hematopoietic progenitor,Blood,8.970252261334284,2.0,3
27,E9.5-R1,E9.5,Hemogenic endothelium,Mesoderm,9.216726707265355,2.0,2
28,E9.5-R1,E9.5,Hepatoblast,Endoderm,7.967267574441795,4.087719298245614,57
29,E9.5-R1,E9.5,Hindbrain (isthmic organizer),Neural ectoderm,8.754973635917915,2.9582089552238804,335
30,E9.5-R1,E9.5,Hindbrain (r1),Neural ectoderm,8.580241710316416,5.451219512195122,984
31,E9.5-R1,E9.5,Hindbrain (r2-r4),Neural ectoderm,8.553219302472392,6.138993238166792,1331
32,E9.5-R1,E9.5,Hindbrain (r5-r8),Neural ectoderm,8.686791664447467,4.431266846361186,1484
33,E9.5-R1,E9.5,Hindgut,Endoderm,8.263951857359732,7.240384615384615,104
34,E9.5-R1,E9.5,Hindlimb field,Lateral plate mesoderm,8.767860909162966,3.081896551724138,232
35,E9.5-R1,E9.5,Hypaxial myogenic progenitor,Paraxial mesoderm,8.708104485224311,2.8021680216802167,369
