source,target,value,norm_value,z_score,norm_value_var,p_value,source_n,target_n,top5_for,proposed_explanation,novelty
Allantois,Allantois,9.499999999914719,-2.3684757858670005e-15,-2.3685598421199995e-05,3.6077238732107605e-28,1.0,78,78,,,
Allantois,Amniotic ectoderm,5.556955945206139,0.34818137882658257,3.805412229254379,0.02345639555671033,0.01,78,2288,,,
Allantois,Arterial endothelial cell,5.5380524897516645,0.25032899841493145,3.1281058541631936,0.022539792448788894,0.32,78,645,,,
Allantois,Autonomic neuron,4.776109087624133,-0.020772086480587742,-0.008706213651934766,0.07051421346118777,0.51,78,142,,,
Allantois,Autonomic progenitor,5.303943508334386,-0.04183537170330857,-0.301554768566016,0.0061781508326830825,0.96,78,3416,,,
Allantois,Axial progenitor,5.246847947736646,-0.28252670374098976,-3.186854733971833,0.002614503439722162,0.01,78,3170,,,
Allantois,Cranial motor neuron,5.0213986535509845,-0.3494909207114967,-3.3670358873187802,0.006695819240827279,0.02,78,3730,,,
Allantois,Cranial neural crest,5.62768195513328,0.04316101214842553,0.35999666517387535,0.006099695695788489,0.98,78,9523,,,
Allantois,Dermomyotome,5.584062830334233,-0.23942356925425953,-2.583581394166017,0.002581371119695989,0.03,78,47263,,,
Allantois,Diencephalon,5.328610649040533,-0.1902709551387615,-2.063387063200501,0.008636590141302643,0.44,78,14353,,,
Allantois,Dorsal root ganglion neuron,5.204428385389119,-0.07754157310886238,-0.6874543730707452,0.00511826076313006,0.75,78,1179,,,
Allantois,Dorsal root ganglion progenitor,5.271328160042692,-0.032670498105979995,-0.2555673581097679,0.0013233954918460227,0.89,78,921,,,
Allantois,Endocardial cell,5.173192548407024,-0.06661576729901715,-0.9066837446154454,0.00010175058784228782,0.44,78,1558,,,
Allantois,Endothelial cell,5.962315646565533,0.27475748307295333,3.242206828842061,0.027555364893793375,0.25,78,9605,,,
Allantois,Endothelial progenitor,5.553370775102628,-0.01619875602120402,-0.24300405492285107,0.0008292501939504984,0.97,78,1988,,,
Allantois,Epibranchial placode,5.478696717032883,0.33529298192092466,3.3079990928926684,0.019404447312622135,0.04,78,3606,,,
Allantois,Epibranchial sensory neuron,5.373973625013618,0.26617351406583456,2.331959678181922,0.040631333822182016,0.19,78,1270,,,
Allantois,Epicardium,5.174101370632514,-0.02482138152352853,-0.16402061719239888,0.00797336786913298,0.71,78,1288,,,
Allantois,Epidermal progenitor,5.862373641292034,0.4171409897066951,4.549294903693521,0.001672944180300391,0.0,78,24337,Allantois,"Both likely trace back to the posterior epiblast/primitive streak, where allantois (posterior extraembryonic mesoderm) and epidermal surface-ectoderm progenitors co-emerge from the same caudal region before full germ-layer segregation, giving them shared recent ancestry despite belonging to different germ layers.",4
Allantois,Extraembryonic mesoderm,5.461973298515484,0.2439314604040792,3.1800410786355866,0.02097969278854169,0.25,78,5300,,,
Allantois,Eye field,5.300216759401839,-0.1555483903319376,-1.642823286339203,0.0023202190811565256,0.25,78,8896,,,
Allantois,First heart field,5.209802272445751,-0.04444226057107888,-0.701677878955769,0.011300499975037553,0.54,78,1531,,,
Allantois,Floor plate,5.146174309629185,-0.41030216411221926,-3.8910627576141485,0.00446957740562,0.0,78,16788,,,
Allantois,Foregut,4.914789043294367,-0.13105743288819158,-1.6116610548276176,0.015219317411343657,0.91,78,2432,,,
Allantois,Forelimb field,5.536508984214881,0.0600892638380491,0.8482340295972494,0.005808807366219585,0.93,78,25891,,,
Allantois,Frontonasal mesenchyme,5.4982946501549685,0.006905309717828878,-0.18496399850339998,0.02005145763888918,0.66,78,24672,,,
Allantois,Head paraxial mesoderm,5.440239691483932,-0.014720482284564499,-0.4013004445779716,0.027600080762965554,0.21,78,32981,,,
Allantois,Hematopoietic progenitor,4.58479368661171,-0.10320838564309269,-0.5805923148292544,0.07359929994440562,0.75,78,87,,,
Allantois,Hemogenic endothelium,5.076013175382369,0.17181155697845796,1.2811219141160137,0.009717382408006186,0.65,78,141,,,
Allantois,Hepatoblast,4.700901656197634,-0.22737252177065828,-1.6077164082899174,0.08983783044793284,0.68,78,1255,,,
Allantois,Hindbrain (isthmic organizer),5.2500250066411285,-0.2353937200540542,-2.615976495247968,0.0021105785603639767,0.13,78,3921,,,
