source,target,value,norm_value,z_score,norm_value_var,p_value,source_n,target_n
Allantoic endothelial progenitor,Allantoic endothelial progenitor,8.000000000000007,4.144832625267251e-15,4.14431730022e-05,5.153891247443943e-29,1.0,110,110
Allantoic endothelial progenitor,Allantois,6.19535744707679,1.184413796739804,15.98631555355743,0.01964583431553521,0.0,110,849
Allantoic endothelial progenitor,Amniotic ectoderm,5.0751362784605,0.6622759409942033,4.1399539684919135,0.2165129469400169,0.11,110,101
Allantoic endothelial progenitor,Anterior mesoderm,4.942063118670247,-0.19784015731162588,-2.4950808675747966,0.012784497559069853,0.12,110,1060
Allantoic endothelial progenitor,Axial progenitor,4.934240897471862,-0.3280609881422836,-4.854221620316587,0.047261702105103796,0.06,110,982
Allantoic endothelial progenitor,Cranial neural crest,4.945029895667259,-0.20716211711294186,-2.728452223744728,,0.0,52,147
Allantoic endothelial progenitor,Endothelial progenitor,4.979775877555281,-0.12469088714156247,-1.0853307007337964,0.05693057971711076,0.01,110,416
Allantoic endothelial progenitor,Extraembryonic mesoderm,5.446086322590379,0.31451965063585724,4.607499446109018,0.006803574361160348,0.04,110,713
Allantoic endothelial progenitor,First heart field,4.822031583666705,0.06779540534435273,0.5484191526440861,0.03837635972367866,0.32,110,429
Allantoic endothelial progenitor,Forebrain,5.004730725885266,-0.29669781438012066,-5.130591968149962,0.013061018740717615,0.0,110,1586
Allantoic endothelial progenitor,Gut,4.653263782118953,-0.2974793871249499,-3.7034671150023146,0.033128540955123034,0.02,110,610
Allantoic endothelial progenitor,Hindbrain,4.947746234793549,-0.33627279153183603,-5.105996429793573,0.01773809907700116,0.0,110,985
Allantoic endothelial progenitor,Intermediate mesoderm,5.01322159241712,-0.17671161509042724,-2.494601075021282,0.028497140713656034,0.23,110,709
Allantoic endothelial progenitor,Juxtacardiac field,4.78650916430497,0.19385906872041106,1.0633624934116026,0.015084111332615302,0.48,110,126
Allantoic endothelial progenitor,Lateral plate mesoderm,5.075034734191961,-0.13550526832345877,-1.962231442084903,0.027457344863544814,0.76,110,1118
Allantoic endothelial progenitor,Midbrain,4.852223025949565,-0.37161538401688654,-5.543331921749663,0.0021868096150240105,0.0,74,1053
Allantoic endothelial progenitor,Nascent somite,4.96809467117606,-0.24098747327400272,-3.8543089420701855,0.01126839668984612,0.0,110,1211
Allantoic endothelial progenitor,Notochord,4.40441980127427,-0.294304236516,-2.3799402435204704,0.06182489564924489,0.42,110,117
Allantoic endothelial progenitor,Prechordal plate,3.800295986673289,-0.49024951997334937,-2.643655511202828,0.009296209040140307,0.1,110,42
Allantoic endothelial progenitor,Presomitic mesoderm,4.931597089623719,-0.3258020769742321,-5.167185915735733,0.025953845662787817,0.0,110,955
Allantoic endothelial progenitor,Primitive streak,4.938416858480491,-0.13291693779349392,-1.256913711183445,0.021970615935873378,0.99,110,426
Allantoic endothelial progenitor,Second heart field,4.982254783875536,-0.10324412635583495,-1.49005094476665,0.03556671505511427,0.73,110,681
Allantoic endothelial progenitor,Spinal cord,4.942928343745742,-0.4336650442448529,-7.896207156516707,0.014052513655351501,0.0,110,2012
Allantoic endothelial progenitor,Surface ectoderm,5.2452078614418784,0.03498711196992351,0.5440314039273142,0.0036004196255404815,0.65,110,1199
Allantois,Allantois,8.000000000000002,1.1842378929335002e-15,1.1841958218465536e-05,4.20725816117873e-30,1.0,849,849
Allantois,Amniotic ectoderm,5.606991216341123,0.7050557780710743,10.301101992754463,0.0361057609638642,0.0,849,101
Allantois,Anterior mesoderm,5.464465705336171,-0.16192507941722015,-5.3658565405771705,0.018156548100797688,0.49,849,1060
Allantois,Axial progenitor,5.4699430222944985,-0.2721619827264048,-8.35026499036891,0.013162911681826036,0.0,849,982
Allantois,Cranial neural crest,5.262977082079649,-0.11292968905772227,-2.3226413002642645,,0.01,302,147
Allantois,Endothelial progenitor,5.506025821990375,-0.07450116324231004,-1.7057464927271908,0.012876061764723227,0.08,849,416
Allantois,Extraembryonic mesoderm,6.150791670337959,0.5299715631519003,16.80563477746165,0.0036675540055752156,0.0,849,713
Allantois,First heart field,5.2127390500181505,-0.033477922227001855,-0.9554676405348799,0.03206234300835085,0.57,849,429
Allantois,Forebrain,5.556661902974983,-0.239669006072161,-9.371631408751137,0.005940697649432653,0.0,849,1586
Allantois,Gut,5.141395238958169,-0.2849037482627678,-7.024079512176725,0.020953220555494423,0.0,849,610
Allantois,Hindbrain,5.5079614844933635,-0.2586999229969571,-9.362403038867317,0.0025222619391590457,0.0,849,985
Allantois,Intermediate mesoderm,5.5466139943471156,-0.12535356193930594,-3.7357305897613435,0.011897489084377386,0.98,849,709
Allantois,Juxtacardiac field,4.960085921062741,-0.1230414145933052,-0.4506646053172736,0.060813646917979115,0.6,849,126
Allantois,Lateral plate mesoderm,5.833034631066826,0.1323169936634656,5.01204320914823,0.02660770820518155,0.47,849,1118
Allantois,Midbrain,5.415567442536331,-0.2742572240150962,-10.585353213950127,0.011126393961043392,0.0,593,1053
Allantois,Nascent somite,5.5534540251467135,-0.14332400369238366,-5.509612504361378,0.01129495998676704,0.27,849,1211
Allantois,Notochord,4.996822197579028,-0.185098454115737,-2.522065372560913,0.022193255915368214,0.84,849,117
Allantois,Prechordal plate,4.733148269913749,-0.06578972814793005,-0.5797505787780106,0.006512928450551212,0.83,849,42
Allantois,Presomitic mesoderm,5.505511283987835,-0.23525871242739527,-8.246049045674756,0.016143229995812736,0.01,849,955
Allantois,Primitive streak,5.586744352356491,0.03034016543210753,0.5912824007642953,0.009106347903437229,0.07,849,426
Allantois,Second heart field,5.41903774626699,-0.15079274099558612,-4.629295060329855,0.02800705867133109,0.81,849,681
Allantois,Spinal cord,5.528176879728608,-0.3315928791349935,-13.828351014457155,0.00794313620557109,0.0,849,2012
Allantois,Surface ectoderm,5.817835416890051,0.12463846681825134,4.53925621095819,0.006509306277461645,0.02,849,1199
Amniotic ectoderm,Amniotic ectoderm,8.000000000000005,3.2566542055671257e-15,3.256278222196287e-05,4.128372070656628e-29,1.0,101,101
Amniotic ectoderm,Anterior mesoderm,4.849100414682703,-0.16606385921574715,-2.1422572519434877,0.016296505646284654,0.28,101,1060
Amniotic ectoderm,Axial progenitor,4.87547026201948,-0.2569522069575421,-3.082723306161195,0.10700436881980581,0.67,101,982
Amniotic ectoderm,Cranial neural crest,4.790956933930864,-0.10267982704343037,-1.0523542553280474,,0.29,29,147
Amniotic ectoderm,Endothelial progenitor,4.805841939754923,-0.1725404191081609,-2.0353446979002245,0.003527810555436582,0.14,101,416
Amniotic ectoderm,Extraembryonic mesoderm,5.305295720021028,0.2876812488369085,3.9883218707006414,0.011882382791950778,0.04,101,713
Amniotic ectoderm,First heart field,4.59746681990375,-0.03524890541423442,-0.8208971904269644,0.048601349992372846,0.53,101,429
Amniotic ectoderm,Forebrain,4.9204068748963286,-0.2727740837766455,-4.206245003083462,0.04242049529588942,0.26,101,1586
Amniotic ectoderm,Gut,4.51430203520896,-0.30999591476956745,-3.358298008372253,0.12044641758866073,0.47,101,610
Amniotic ectoderm,Hindbrain,4.886261550644414,-0.27302704964886687,-3.8063072857046643,0.023982409936598767,0.08,101,985
Amniotic ectoderm,Intermediate mesoderm,4.954379956805337,-0.10813835947223538,-1.3667313350232773,0.0021755938906561113,0.25,101,709
