source,target,value,norm_value,z_score,norm_value_var,p_value,source_n,target_n
Allantoic endothelial progenitor,Allantoic endothelial progenitor,8.5,0.0,0.0,0.0,1.0,463,463
Allantoic endothelial progenitor,Allantois,6.91038081520696,1.3256871629401836,38.70310049265965,0.15921110550802733,0.0,463,2220
Allantoic endothelial progenitor,Amniotic ectoderm,5.830849721364253,0.5474618115785613,10.404975315140161,0.02493267389368043,0.02,463,317
Allantoic endothelial progenitor,Anterior mesoderm,5.36897817533476,-0.17472129973094427,-4.038419490585542,0.024763535680353194,0.97,463,667
Allantoic endothelial progenitor,Arterial endothelial cell,5.464209766131991,0.22855031433894948,3.4509926267227775,0.01297057490285882,0.13,463,149
Allantoic endothelial progenitor,Atria,5.20959605291988,0.1172703324868302,1.2890180296618532,0.024611999604661854,0.33,463,92
Allantoic endothelial progenitor,Atrioventricular canal,5.257012345544292,-0.013941519821986326,0.7135799719767983,0.07558890457781488,0.73,463,211
Allantoic endothelial progenitor,Axial progenitor,5.567235874686489,-0.2282892535749322,-5.759456762309493,0.002198323285213684,0.0,463,1269
Allantoic endothelial progenitor,Cranial neural crest (anterior),5.68425955944929,-0.10564583846616227,-2.7159099987151882,0.0024091703157425185,0.21,463,3191
Allantoic endothelial progenitor,Cranial neural crest (posterior),5.483266941447245,-0.03908824238549169,-0.9043731280735626,0.0015368862196889716,0.91,463,476
Allantoic endothelial progenitor,Dermomyotome,5.611059908764119,-0.22175639511978318,-6.748338160515762,0.004592036996716406,0.0,463,2561
Allantoic endothelial progenitor,Diencephalon,5.1687020600495535,-0.18209914765418342,-2.3912797066291898,0.005103519459939078,0.02,463,169
Allantoic endothelial progenitor,Endocardial cell,5.255697544830167,-0.005655265781546663,-0.15629175257178293,0.03946597925441426,0.27,463,151
Allantoic endothelial progenitor,Endothelial cell,5.137334786238347,0.02019700523190752,1.196667174357454,0.07349683859165732,0.06,463,99
Allantoic endothelial progenitor,Endothelial progenitor,6.108272091895223,0.2935790301351995,6.997544095345347,0.0023938863382401048,0.0,463,1091
Allantoic endothelial progenitor,Epibranchial placode,5.600907300557744,0.2710736840853582,5.919020466508602,0.02536400532562746,0.28,463,330
Allantoic endothelial progenitor,Extraembryonic mesoderm,5.484987901124657,0.10800657016682418,1.61352678809141,0.03455743877333314,0.24,463,556
Allantoic endothelial progenitor,Eye field,5.108649201392029,-0.23967154701345836,-3.060776966997224,0.008963460119008186,0.04,463,146
Allantoic endothelial progenitor,Floor plate (anterior),5.232783316806699,-0.25224210688949444,-4.751709021606631,0.00877412714190064,0.02,463,600
Allantoic endothelial progenitor,Floor plate (posterior),5.123239741798142,-0.2584674680779105,-5.20811961036443,0.002725135841426853,0.01,463,357
Allantoic endothelial progenitor,Foregut,5.053644115708477,-0.22790040450311752,-4.735131455356597,0.0021022024408580116,0.0,463,477
Allantoic endothelial progenitor,Frontonasal mesenchyme,5.070249770840302,-0.05808694458829233,-0.1990285514619764,0.015847609807181823,0.56,390,57
Allantoic endothelial progenitor,Head paraxial mesoderm,5.625254639189289,-0.1306750822899838,-3.9683041638731495,0.004612715629297922,0.34,463,3441
Allantoic endothelial progenitor,Hindbrain (isthmic organizer),5.4984493033286705,-0.3278496587681821,-7.725299009881251,0.0025220098993754946,0.0,463,1531
Allantoic endothelial progenitor,Hindbrain (r1),5.511205730775017,-0.34980524051561207,-9.033910829387423,0.005733382373542283,0.0,463,2128
Allantoic endothelial progenitor,Hindbrain (r2-r4),5.559917318592382,-0.3266869035398748,-9.237403687518366,0.0025026949693987646,0.0,463,2189
Allantoic endothelial progenitor,Hindbrain (r5-r8),5.466454940624452,-0.3798204555812508,-9.2123322068509,0.008152660711651763,0.0,463,1457
Allantoic endothelial progenitor,Hindgut,4.949724663089959,-0.19054389457604604,-2.4773727156621743,0.06636517406087251,0.02,463,247
Allantoic endothelial progenitor,Hypothalamus,5.2797436549332915,-0.3138936473544695,-7.52062377691879,0.0023999434946118383,0.0,463,765
Allantoic endothelial progenitor,Intermediate mesoderm,5.6176371315587375,-0.15988416942211625,-4.397375788183756,0.0009595828756260137,0.01,463,1173
Allantoic endothelial progenitor,Juxtacardiac field,5.114966833016088,-0.14688426561003473,-2.015861959341107,0.004918851004362942,0.06,463,195
Allantoic endothelial progenitor,Left ventricle,5.366995155356828,-0.04860762670091804,-0.6432396831402959,0.012885677784793216,0.68,463,493
Allantoic endothelial progenitor,Midbrain,5.540787330841375,-0.34961684021099754,-10.303155353548298,6.518993903382054e-05,0.0,463,2940
Allantoic endothelial progenitor,Midgut,5.0777779517273025,-0.16820882952615257,-2.936223166613757,0.03519459001762508,0.25,463,362
Allantoic endothelial progenitor,Nascent somite,5.424308764171911,-0.2778919347098281,-6.810806893632688,0.004758957924000413,0.0,463,1056
Allantoic endothelial progenitor,Notochord,5.043970013422165,-0.22835000266527436,-3.6675769758903747,0.01697695141512337,0.26,463,288
Allantoic endothelial progenitor,Olfactory placode,5.4984498479261035,0.05204563292251555,1.470456011702245,0.01733215134518785,0.25,463,317
Allantoic endothelial progenitor,Otic placode,5.469449973441748,0.1095820026735117,2.4596683445552476,0.020629014328528185,0.62,463,246
Allantoic endothelial progenitor,Periocular mesoderm,5.240659676961317,-0.032140568904471735,-0.6354172948434847,0.05605130914716154,0.24,463,430
Allantoic endothelial progenitor,Pharyngeal endoderm,5.19837335333349,-0.23330443620639527,-5.334149881318681,0.011372110494957722,0.0,463,1138
Allantoic endothelial progenitor,Pharyngeal mesoderm,5.656300168348821,0.009323075672752404,0.21498403455678453,0.032133316154243315,0.68,463,1100
Allantoic endothelial progenitor,Pre-placodal ectoderm,5.809704796310158,0.15158378033600575,3.8676246751475234,0.0425190065263112,0.33,463,1022
Allantoic endothelial progenitor,Prechordal plate,4.819869510484145,-0.12896653609710582,-1.421776691677346,0.0006803799692903947,0.23,463,102
Allantoic endothelial progenitor,Presomitic mesoderm,5.687273733891,-0.2257191559844444,-6.618092875624433,0.010183646400148006,0.0,463,3260
Allantoic endothelial progenitor,Right ventricle,5.462517875640188,-0.0397096282903003,-0.37780524157705125,0.009351019152532567,0.23,463,696
Allantoic endothelial progenitor,Roof plate (posterior),5.555185438649681,-0.056739308549124644,-1.5261191515066057,0.01212679700970341,0.36,463,450
Allantoic endothelial progenitor,Sclerotome,5.445298644143354,-0.23379499293633157,-6.3134757448897245,0.0033226548924383775,0.0,463,1380
Allantoic endothelial progenitor,Second heart field (anterior),5.530155236856458,-0.03254828831208645,-0.9112544254500486,0.0019162128474304737,0.83,463,703
Allantoic endothelial progenitor,Second heart field (posterior),5.795252354493489,0.16743252658239113,4.920808305374316,0.005719848116170772,0.03,463,1220
