source_time,target_time,source,target,count
4.5,5.0,Uncommitted,Uncommitted,44
4.5,5.0,Uncommitted,Paraxial mesoderm,3
4.5,5.0,Paraxial mesoderm,Paraxial mesoderm,3
4.5,5.0,Uncommitted,Neural crest,1
4.5,5.0,Uncommitted,Neural ectoderm,1
4.5,5.0,Endoderm,Endoderm,1
4.5,5.0,Uncommitted,Lateral plate mesoderm,1
4.5,5.0,Neural ectoderm,Neural ectoderm,1
4.5,5.0,Lateral plate mesoderm,Lateral plate mesoderm,1
4.5,5.0,Uncommitted,Endoderm,1
5.0,5.5,Uncommitted,Uncommitted,82
5.0,5.5,Uncommitted,Lateral plate mesoderm,5
5.0,5.5,Paraxial mesoderm,Paraxial mesoderm,6
5.0,5.5,Uncommitted,Endoderm,4
5.0,5.5,Uncommitted,Mesoderm,11
5.0,5.5,Uncommitted,Paraxial mesoderm,2
5.0,5.5,Neural crest,Neural crest,1
5.0,5.5,Neural ectoderm,Neural ectoderm,2
5.0,5.5,Uncommitted,Neural ectoderm,6
5.0,5.5,Uncommitted,Ectoderm,8
5.0,5.5,Endoderm,Endoderm,3
5.0,5.5,Lateral plate mesoderm,Lateral plate mesoderm,2
5.0,5.5,Uncommitted,Blood,2
5.0,5.5,Uncommitted,Intermediate mesoderm,1
5.0,5.5,Uncommitted,Neural crest,1
5.5,6.0,Uncommitted,Uncommitted,155
5.5,6.0,Uncommitted,Mesoderm,36
5.5,6.0,Uncommitted,Neural ectoderm,24
5.5,6.0,Uncommitted,Intermediate mesoderm,4
5.5,6.0,Uncommitted,Ectoderm,20
5.5,6.0,Uncommitted,Surface ectoderm,4
5.5,6.0,Uncommitted,Paraxial mesoderm,12
5.5,6.0,Uncommitted,Neural crest,2
5.5,6.0,Uncommitted,Endoderm,11
5.5,6.0,Lateral plate mesoderm,Lateral plate mesoderm,9
5.5,6.0,Paraxial mesoderm,Paraxial mesoderm,8
5.5,6.0,Endoderm,Endoderm,8
5.5,6.0,Mesoderm,Mesoderm,16
5.5,6.0,Uncommitted,Lateral plate mesoderm,7
5.5,6.0,Mesoderm,Lateral plate mesoderm,5
5.5,6.0,Mesoderm,Blood,4
5.5,6.0,Neural crest,Neural crest,2
5.5,6.0,Neural ectoderm,Neural ectoderm,11
5.5,6.0,Ectoderm,Ectoderm,9
5.5,6.0,Uncommitted,Extraembryonic mesoderm,1
5.5,6.0,Ectoderm,Surface ectoderm,1
5.5,6.0,Mesoderm,Paraxial mesoderm,3
5.5,6.0,Blood,Blood,2
5.5,6.0,Uncommitted,Blood,1
5.5,6.0,Intermediate mesoderm,Intermediate mesoderm,1
5.5,6.0,Ectoderm,Neural ectoderm,1
5.5,6.0,Mesoderm,Neural crest,1
6.0,6.5,Uncommitted,Paraxial mesoderm,41
