program,genes,size,active_in,name,description
P1,"9530020I12Rik, Tbx6, Fgf17, Hoxa9, Hoxc9, Hoxaas3, Hoxb9, Cdx2, Hes7, Hoxc8, T, Gpr15lg, Hoxc6, Evx1, Hoxa7, Evx1os, Gm45889, Epha5, Dll3, Hoxb8, Cpa6, Hoxd1, Cyp26a1, Fgf8, Naaa, Rspo3, Wnt3a, Gad1, Hoxb1, Gm53, Lmo2, Kif26b, Arl4d, Peli3, Sp5, Gm32342, Tcea3, Fzd10, Efna1, Etv4, Rftn1, Wnt5a, Limch1, Sall3, Sall1, Greb1, Lef1, Arhgap24, Greb1l, Rhpn2, Mllt3, Dusp4, Sall4, Arid3b, Ptk7, Laptm4b",56,"Axial progenitor, Presomitic mesoderm, Spinal cord (sacral)",Posterior axial elongation,"Drives posterior body axis extension via the Cdx2–Wnt3a–T (Brachyury) positive feedback loop, with FGF (Fgf8/17) and Wnt signaling maintaining axial progenitors in the tailbud while Notch oscillation components (Hes7, Dll3) and Tbx6 direct presomitic mesoderm segmentation. A dense posterior Hox code (paralog groups 6–9) and Cyp26a1-mediated retinoic acid clearance establish sacral-level positional identity and protect the progenitor zone from premature differentiation."
P2,"Hoxa5, Hoxd4, Hoxc5, Hoxb3, Hoxb6, Hoxb4, Hoxa4, Hoxb7, Hoxb5, Hoxa2, ENSMUSG00000139924, Fndc5, Hoxd3, Gm10830, Hoxb2, Hotairm1, ENSMUSG00000142394, Tshz1, Hoxa3, Meis1, ENSMUSG00000138963, Skap2, Ncam1, Tshz3, Gm15050, Meis2",26,"Nascent somite, Somatic motor neuron, Spinal cord (cervical), Spinal cord (lumbar), Spinal cord (thoracic), Spinal cord interneuron",Trunk hox ap patterning,"Encodes a Hox-based anterior-posterior positional identity program spanning paralog groups 2–7, corresponding to cervical-through-thoracic axial levels. The coordinated expression of Hoxa/b/c/d cluster genes together with TALE-class cofactors Meis1/2 and trunk transcription factors Tshz1/3 establishes regional identity in the spinal cord and nascent somites, specifying distinct motor neuron and interneuron subtypes along the rostrocaudal axis."
P3,"Hoxd11, Hoxc10, Hoxc11, Hoxa11os, Hoxa10, Hoxd10, Gm28309, Hoxd13, Hoxa11, Hoxd9, Hoxd8, Hoxd3os1, 2600014E21Rik, ENSMUSG00000129411, Ets2, Aopep",16,"Axial progenitor, Hindlimb field, Presomitic mesoderm, Spinal cord (sacral)",Posterior hox patterning,"Encodes a posterior Hox transcriptional program dominated by paralog groups 9–13 from the HoxA, HoxC, and HoxD clusters, establishing sacral-caudal positional identity along the anterior-posterior axis. Active in axial progenitors, presomitic mesoderm, sacral spinal cord, and the hindlimb field, consistent with the known role of posterior Hox genes in specifying trunk-to-tail fate and proximal-distal limb patterning."
P4,"Col13a1, Adam19, Prickle1, Dact1, Mcc, Mogat2, Nid2",7,"Allantois, Axial progenitor, Dermomyotome, Extraembryonic mesoderm, Lateral plate mesoderm, Nascent mesoderm, Nascent somite, Notochord, Parietal endoderm, Presomitic mesoderm, Primitive streak",Mesoderm pcp/ecm remodeling,"Planar cell polarity and extracellular matrix remodeling program active across mesodermal lineages during gastrulation and axis elongation. Core PCP/non-canonical Wnt components (Prickle1, Dact1, Mcc) drive convergent extension movements critical for primitive streak elongation, mesoderm migration, and somitogenesis, while ECM genes (Col13a1, Nid2) and the metalloprotease Adam19 facilitate the tissue remodeling and basement membrane reorganization that accompany these morphogenetic processes."
P5,"Cdx1, Nkx1-2, Sema3e, Hoxa1, Gbx2, Lhpp",6,"Primitive streak, Spinal cord",Caudal axial patterning,"Defines a posterior axial progenitor program active in neuromesodermal progenitors of the primitive streak and their spinal cord derivatives. Cdx1, Nkx1-2, and Hoxa1 are core transcription factors that drive caudal identity and body axis elongation, while Gbx2 contributes to posterior neural patterning. This program coordinates the transition from axial progenitors to spinal cord fate during trunk extension."
P6,"Gm14226, Osr1, Rnf213, Cacna2d1, Epb41l3, Pdzrn3",6,"Enteroendocrine progenitor, Intermediate mesoderm, Mesothelium, Myotome, Nascent somite, Presomitic mesoderm",Osr1+ mesoderm identity,"An Osr1-driven mesodermal identity program active across paraxial (presomitic mesoderm, somite, myotome) and lateral plate (intermediate mesoderm, mesothelium) derivatives. Osr1 is a key zinc-finger transcription factor specifying intermediate mesoderm and mesothelial fate, while Pdzrn3 modulates non-canonical Wnt signaling during mesenchymal differentiation and Epb41l3 contributes to cytoskeletal organization underlying mesodermal cell morphogenesis. Together, these genes define a shared regulatory state across diversifying mesodermal lineages during trunk elongation."
P7,"Rarg, Lypd6, Itgb5, Arhgap10, Zfp36l2",5,"Allantois, Axial progenitor, Epiblast, Epidermal progenitor, Extraembryonic ectoderm, Extraembryonic mesoderm, Forelimb field, Frontonasal mesenchyme, Hindlimb field, Nascent mesoderm, Presomitic mesoderm, Rostral ectoderm, Spinal cord (sacral), Surface ectoderm, Trigeminal placode",Ra progenitor maintenance,"A broadly active program linking retinoic acid responsiveness (Rarg) and Wnt modulation (Lypd6) with progenitor state maintenance via post-transcriptional mRNA decay (Zfp36l2). Active across diverse progenitor and early-specified cell types spanning ectoderm, mesoderm, and extraembryonic compartments, it likely sustains multipotent or transitional states through coordinated signaling receptivity, integrin-mediated adhesion (Itgb5), and cytoskeletal remodeling (Arhgap10)."
P8,"Gzmk, ENSMUSG00000143355, Fgf9, Smoc1, Vwa2",5,"Nascent somite, Presomitic mesoderm",Psm fgf9-ecm signaling,"FGF and extracellular matrix program active during somitogenesis. Fgf9 is a key FGF ligand that maintains the presomitic mesoderm in an undifferentiated state as part of the posterior-to-anterior FGF signaling gradient, while Smoc1 and Vwa2 encode ECM-associated proteins involved in matrix remodeling during somite boundary formation and epithelialization. This program likely coordinates FGF-dependent PSM maintenance with ECM dynamics at the transition from presomitic mesoderm to nascent somite."
P9,"Mir9-2hg, Gm56811, Mir124-2hg, Scube2, Pax6, Rfx4, Sox2ot, Pou3f3, Gm30340, Gm32061, Ptprn2, Nlgn1, Fabp7, Adgrv1, Hes3, Sox21, Sox2, Nrcam, Fgf14, Gm54109, Foxb1, Zfp536, Hes5, Sox1, Dcc, Fgfbp3, Nell2, Fez1, Ildr2, Srgap3, Sema5b, Fam181b, Fam181a, Ptprz1, Apba2, Tox2, Rprm, Celsr2, Gbx1, Sp8, Itgb8, Tox, Lrrn1, Pantr1, Pdzph1, Fmn2, Npas3, B230323A14Rik, Kif21a, Slc35f1, Frmd5, Adgrb3, Eml5, Fat3, ENSMUSG00000123858, Nsg2, Adgrg1, Dtx4, Tox3, Jam2, Hspa4l, Nedd9, Wscd1, Plch1, Cacng4, Fut9, Rims2, Sfrp2, Mycl, Zbtb16, Fgfr3, Ajap1, Celsr1, Dpysl5, 1500004A13Rik, Plxnc1, Fhod3, Nes, Epb41l4a, Gldc, Cntfr, Tubb2b, Dock3, Uchl1, Ctnnd2, Jakmip2, Nova1, Phf21b, Cdh4, Sox1ot, Gm42695, Csrnp3, Fam171b, Slain1, Nav2, Emid1, Map1b, Celf2, Cenpv, Zswim5, Phyhipl, Cxcr4, Kif1a, Slco5a1, Scg5, Ppm1e, Spata13, Ptpro, Nuak2, Adgrb1, Sox21os1, Astn1, Septin3, Wnk2, Cdh2, Ddr1, Trim2, Otud7a, 2610307P16Rik, Ccdc88c, Rgma, Nrxn2, Ark2c, Chd3, Zeb2, Pard3b, Npdc1, Rb1, Unc13b, Mapk4, Cadm4, Peg12, Tafa5, Msi1, Eml1, Atp8a1, Tspan13, Ppm1l, Zfp811, Fgd4, Ago1, Mtcl1, Elovl2, Tbc1d9, Acot7, Pak1, Mkrn1, Kif5c, Zc3h12c, Arnt2, Tspan5, Zfp41, Prom1, Wasf3, Fsd1l",155,"Cranial motor neuron, Diencephalon, Floor plate, Hindbrain (isthmic organizer), Hindbrain (r1), Hindbrain (r2-r4), Hindbrain (r5-r8), Hypothalamic neuron, Hypothalamus, Midbrain, Midbrain neuron, Somatic motor neuron, Spinal cord (cervical), Spinal cord (thoracic), Spinal cord interneuron, Telencephalon",Cns neural progenitor,"Defines neural progenitor and radial glial identity across the entire central nervous system. Core markers include Sox1/2, Hes3/5, Nes, Fabp7, Msi1, Pax6, and Prom1, along with Notch pathway effectors that maintain the progenitor state. Accompanying axon guidance genes (Dcc, Sema5b, Rgma), neuronal cadherins (Cdh2/4, Nrcam), and cytoskeletal regulators (Map1b, Tubb2b, Kif5c) reflect the transition from progenitor to early neuron across spinal cord, hindbrain, midbrain, and forebrain regions."
P10,"Glra1, Prdm8, Rhbdl3, Neurog2, Elavl3, Nckap5, Miat, Srrm4, Prmt8, Neurod4, St18, Nhlh2, D930028M14Rik, Clvs1, Myt1, Tubb3, Elavl4, Scg3, Neurog1, Gm16551, Gm26871, Myo16, Stmn3, Brsk2, Nhlh1, Trp53i11, Srrm3, Celf3, Btbd17, Nfasc, Pou2f2, Slc1a2, Rbfox3, Map2, Nova2, Gm12239, Plk3, Stmn4, Onecut2, Onecut1, Dpysl4, Mfng, Prox1, Zbtb18, Mtcl3, Syt2, Tagln3, Chrna4, Elavl2, Rtn1, Snap25, Cadps, Add2, Olfm2, Unc79, Frmd4b, Gdap1, Smpd3",58,"Cranial motor neuron, Dorsal root ganglion neuron, Hypothalamic neuron, Midbrain neuron, Olfactory sensory neuron, Somatic motor neuron, Spinal cord interneuron, Trigeminal ganglion neuron",Neuronal differentiation,"Core pan-neuronal differentiation program encompassing proneural transcription factors (Neurog1/2, Neurod4, Nhlh1/2, Myt1), neuronal RNA-binding and splicing regulators (Elavl2/3/4, Rbfox3, Nova2, Srrm3/4), cytoskeletal markers of post-mitotic neurons (Tubb3, Map2), and synaptic machinery (Snap25, Syt2, Cadps). Active broadly across central and peripheral neuronal subtypes, this program drives the transition from neural progenitor to mature neuron, establishing neuronal identity, polarity, and synaptic competence."
